University name , Link , Location, Number of Students 
Moscow Polytech,https://mospolytech.ru,Moscow,19999
Russian National Research Medical University,https://rsmu.ru,Moscow,9999
Moscow Tchaikovsky Conservatory,https://www.mosconsv.ru,Moscow,999
Tyumen Industrial University,https://www.tyuiu.ru,Tyumen,14999
Orenburg State University,http://www.osu.ru,Orenburg,14999
Saint Petersburg State Electrotechnical University,https://etu.ru,Saint Petersburg,9999
Ural State Pedagogical University,https://uspu.ru,Yekaterinburg ..., Not reported
Syktyvkar State University,https://www.syktsu.ru,Syktyvkar ...,4999
Penza State University,https://www.pnzgu.ru,Penza,9999
Perm State Technical University,https://pstu.ru,Perm ...,14999
Chelyabinsk State University,https://www.csu.ru,Chelyabinsk,8999
Russian State University of Physical Culture  Sport and Tourism,https://www.sportedu.ru,Moscow,3999
Kazan National Research Technical University named after A.N. Tupolev - KAI,https://kai.ru,Kazan,14999
Bashkir State University,https://bashedu.ru,Ufa,9999
Petrozavodsk State University,https://petrsu.ru,Petrozavodsk ...,19999
Pacific National University,https://pnu.edu.ru,Khabarovsk,24999
Immanuel Kant Baltic Federal University,https://kantiana.ru,Kaliningrad,14999
Tomsk State University of Control Systems and Radioelectronics,https://tusur.ru,Tomsk,9999
N.R.U. Moscow Power Engineering Institute,https://mpei.ru,Moscow ...,14999
Tambov State Technical University,https://www.tstu.ru,Tambov,7999
The Bonch-Bruevich St. Petersburg State University of Telecommunications,http://www.sut.ru,Saint Petersburg ...,5999
Kabardino-Balkarian State University,https://kbsu.ru,Nalchik,8999
Vladivostok State University of Economics and Service,https://www.vvsu.ru,Vladivostok ...,14999
Novosibirsk State Pedagogical University,https://nspu.ru,Novosibirsk,7999
Saint-Petersburg Mining University,https://spmi.ru,Saint Petersburg,7999
Ufa State Aviation Technical University,https://www.ugatu.su,Ufa,14999
Russian State Agricultural University,https://www.timacad.ru,Moscow,5999
Tomsk State Pedagogical University,https://www.tspu.edu.ru,Tomsk,7999
Ural State University of Economics,https://www.usue.ru,Yekaterinburg,4999
North-Western State Medical University,https://szgmu.ru,Saint Petersburg,5999
Russian University of Transport,https://www.miit.ru,Moscow,39999
Kutafin Moscow State Law University,https://msal.ru,Moscow,19999
North Caucasus Federal University,https://www.ncfu.ru,Stavropol,7999
Don State Technical University,https://donstu.ru,Rostov-on-Don ...,14999
Moscow State University of Psychology and Education,https://mgppu.ru,Moscow,3999
Samara State Technical University,https://samgtu.ru,Samara,14999
Moscow Financial and Law University,https://www.mfua.ru,Moscow ...,39999
